,country,indicator_name,geo,indicator,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
13,Australia,GDP per capita,aus,gdppc_cppp,23857,24291,23868,23568,24917,25856,26038,26949,27737,28535,28583,28115,27897,28747,29597,30379,31167,32037,33112,34375,35281,35481,36401,37057,38149,38855,39426,40650,41317,41207,41385,41782,42561,42920,43396,43832,44414
18,Bangladesh,GDP per capita,ban,gdppc_cppp,1089,1095,1081,1108,1143,1154,1181,1208,1221,1230,1288,1302,1342,1374,1397,1438,1471,1505,1550,1590,1642,1693,1726,1776,1839,1930,2031,2148,2252,2340,2443,2571,2707,2836,2973,3133,3319
37,Canada,GDP per capita,can,gdppc_cppp,26778,27275,26132,26630,27893,29134,29604,30415,31489,31686,31300,30220,30115,30578,31647,32226,32395,33426,34424,35903,37432,37712,38500,38806,39604,40471,41203,41647,41611,39924,40699,41565,41795,42336,42946,42983,43088
44,China,GDP per capita,chn,gdppc_cppp,1078,1105,1182,1236,1464,1566,1614,1662,1607,1483,1526,1646,1857,2090,2336,2564,2789,3016,3221,3438,3701,3980,4315,4718,5165,5719,6411,7285,7948,8652,9526,10384,11146,11951,12759,13570,14401
76,France,GDP per capita,fra,gdppc_cppp,23998,24223,24792,25228,25538,25960,26497,27009,28149,28992,29528,29811,30138,29824,30410,30932,31250,31868,32880,33825,34896,35320,35457,35495,36216,36522,37130,37772,37635,36341,36872,37457,37345,37367,37531,37766,38059
82,Germany,GDP per capita,ger,gdppc_cppp,27622,27700,27497,28074,28975,29685,30341,30808,31719,32512,31287,32647,33023,32493,33176,33653,33830,34406,35081,35755,36765,37325,37262,36977,37418,37704,39143,40474,40989,38784,40429,42693,42822,42914,43418,43784,44072
99,Hungary,GDP per capita,hun,gdppc_cppp,16509,16644,17273,17141,17644,17261,17657,17980,18572,18253,17098,15074,14618,14550,14999,15244,15271,15808,16513,17091,17855,18571,19463,20266,21328,22307,23203,23343,23592,22078,22277,22729,22481,23020,24016,24831,25381
101,India,GDP per capita,ind,gdppc_cppp,1256,1308,1320,1397,1419,1445,1476,1507,1630,1703,1755,1738,1797,1845,1930,2037,2149,2195,2288,2446,2495,2570,2623,2783,2955,3179,3420,3699,3787,4050,4405,4636,4828,5074,5390,5754,6093
108,Italy,GDP per capita,ita,gdppc_cppp,23116,23375,23654,23941,25136,25954,26562,27641,29241,30535,31142,31599,31841,31550,32222,33152,33569,34167,34709,35245,36536,37162,37199,37090,37434,37604,38244,38612,37954,35710,36201,36347,35228,34220,33946,34245,34620
109,Jamaica,GDP per capita,jam,gdppc_cppp,6169,6234,6191,6295,6208,5891,5961,6394,6550,6957,7286,7578,7658,8301,8334,8448,8357,8183,7917,7928,7932,7978,8082,8325,8385,8411,8606,8681,8566,8154,7997,8099,8017,8026,8053,8105,8190
110,Japan,GDP per capita,jpn,gdppc_cppp,20257,20955,21516,22034,22887,24220,24808,25746,27513,28918,30447,31362,31540,31516,31681,32425,33346,33625,33155,33011,33872,33928,33889,34333,35078,35658,36142,36697,36278,34318,35750,35775,36368,37149,37323,37818,38240
116,North Korea,GDP per capita,prk,gdppc_cppp,1887,2073,2180,2138,2205,2121,2106,2142,2198,2257,2076,1973,1745,1619,1605,1442,1393,1230,1267,1377,1287,1368,1375,1405,1410,1464,1461,1392,1427,1407,1393,1397,1393,1392,1391,1390,1389
171,Pakistan,GDP per capita,pak,gdppc_cppp,2213,2305,2399,2491,2529,2680,2769,2845,2941,2999,3055,3121,3272,3244,3281,3358,3434,3384,3387,3429,3495,3487,3523,3618,3805,4013,4175,4288,4273,4304,4284,4310,4367,4464,4576,4695,4866
180,Portugal,GDP per capita,por,gdppc_cppp,14943,15078,15389,15347,15043,15451,16079,17096,18372,19315,20167,21096,21343,20881,21026,21851,22530,23422,24421,25227,25999,26318,26376,26032,26440,26593,26958,27575,27590,26743,27238,26780,25806,25655,26024,26548,27007
182,Qatar,GDP per capita,qat,gdppc_cppp,130814,119017,99138,87219,82692,74414,72996,68692,69142,70561,70842,68337,75257,73774,74261,75095,76690,96620,103535,103984,108324,108055,110654,107616,116418,109802,118585,118832,119723,117065,125141,129350,125302,122637,120860,119749,118215
185,Russia,GDP per capita,rus,gdppc_cppp,18565,18647,19015,19525,19659,19728,20431,20591,20934,21215,20639,19554,16705,15274,13371,12813,12370,12564,11918,12720,14051,14829,15604,16819,18098,19326,20970,22799,24006,22122,23108,24074,24879,25144,24880,24124,24026
239,United Kingdom,GDP per capita,gbr,gdppc_cppp,20647,20380,20847,21609,22167,22923,23806,24859,26078,26618,26769,26388,26412,27009,27987,28612,29267,30105,30975,31885,32962,33730,34393,35419,36109,36928,37575,38236,37698,35795,36196,36456,36679,37130,37983,38509,38901
240,United States,GDP per capita,usa,gdppc_cppp,29619,30070,29230,30185,32110,33065,33899,34787,35929,36830,37062,36543,37321,37844,38892,39476,40501,41812,43166,44673,45986,45978,46367,47260,48597,49762,50599,51011,50384,48558,49373,49791,50520,51008,51831,52790,53273
