ID,Name,Sex,Team,NOC,Year
257,Ali Abdo,M,Australia,AUS,2004
824,Luke Kendall Adams,M,Australia,AUS,2004
868,"Frances ""Fran"" Adcock",F,Australia,AUS,2004
2221,Dianne Marie Alagich,F,Australia,AUS,2004
2439,Brett Alderman,M,Australia,AUS,2004
2850,"Kate Ruth ""Katie"" Allen",F,Australia,AUS,2004
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,Australia,AUS,2004
3015,John Aloisi,M,Australia,AUS,2004
3462,"Timothy ""Tim"" Amitrano",M,Australia,AUS,2004
3711,David Emil Andersen,M,Australia,AUS,2004
3803,Craig Anthony Anderson,M,Australia,AUS,2004
4414,Justin John Anlezark,M,Australia,AUS,2004
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,Australia,AUS,2004
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,Australia,AUS,2004
5305,"Jessica Nicole ""Nic"" Arrold",F,Australia,AUS,2004
5376,Wayne ArthRUS,M,Australia,AUS,2004
5376,Wayne ArthRUS,M,Australia,AUS,2004
6776,Nathan Baggaley,M,Australia,AUS,2004
6776,Nathan Baggaley,M,Australia,AUS,2004
6776,Nathan Baggaley,M,Australia,AUS,2004
7111,Carmel BakRUSki,F,Australia,AUS,2004
7364,"Suzanne Elspeth ""Suzy"" Balogh",F,Australia,AUS,2004
7364,"Suzanne Elspeth ""Suzy"" Balogh",F,Australia,AUS,2004
7799,Kate Barclay,F,Australia,AUS,2004
7951,David Paul Barnes,M,Australia,AUS,2004
7951,David Paul Barnes,M,Australia,AUS,2004
7988,Steven John Barnett,M,Australia,AUS,2004
7988,Steven John Barnett,M,Australia,AUS,2004
8230,Caroline Bartasek,F,Australia,AUS,2004
8314,Frank Bartolillo,M,Australia,AUS,2004
8329,George Raymond Barton,M,Australia,AUS,2004
8450,Adam Edward Basil,M,Australia,AUS,2004
8555,"Katherine Linsey ""Kate"" Bates",F,Australia,AUS,2004
8555,"Katherine Linsey ""Kate"" Bates",F,Australia,AUS,2004
8590,Suzy Batkovic (-Brown),F,Australia,AUS,2004
8910,Ryan Neville Bayley,M,Australia,AUS,2004
8910,Ryan Neville Bayley,M,Australia,AUS,2004
8910,Ryan Neville Bayley,M,Australia,AUS,2004
9037,David Beard,M,Australia,AUS,2004
9041,Colin Kenneth Beashel,M,Australia,AUS,2004
9655,"Robin ""Rob"" Bell",M,Australia,AUS,2004
9721,Mark Bellofiore,M,Australia,AUS,2004
10168,"Gregory Sydney ""Greg"" Bennett",M,Australia,AUS,2004
11155,Sisay Bezabeh,M,Australia,AUS,2004
12003,Michael James Blackburn,M,Australia,AUS,2004
12016,"Penelope ""Penny"" Blackmore",F,Australia,AUS,2004
12117,Sarah Jane Blanck,F,Australia,AUS,2004
12795,Andrew Michael Bogut,M,Australia,AUS,2004
14329,Gary Stewart Boyd,M,Australia,AUS,2004
14503,Amber Bradley,F,Australia,AUS,2004
14879,Ashley John Brehaut,M,Australia,AUS,2004
14880,Stuart Charles Brehaut,M,Australia,AUS,2004
14946,Michael Gene Brennan,M,Australia,AUS,2004
14949,Scott Michael Brennan,M,Australia,AUS,2004
15041,"Thomas Robert ""Tom"" Brice",M,Australia,AUS,2004
15060,Deonne Ellen Bridger,F,Australia,AUS,2004
15060,Deonne Ellen Bridger,F,Australia,AUS,2004
15340,"Sandra Anne ""Sandy"" Brondello",F,Australia,AUS,2004
15371,Belinda Brooks,F,Australia,AUS,2004
15394,Travis Neil Brooks,M,Australia,AUS,2004
15416,Alex Jason Brosque,M,Australia,AUS,2004
15527,Graeme Allen Brown,M,Australia,AUS,2004
15527,Graeme Allen Brown,M,Australia,AUS,2004
15598,Trevor Michael Brown,M,Australia,AUS,2004
15631,Jemma Brownlow,F,Australia,AUS,2004
15794,Joel Brunker,M,Australia,AUS,2004
15859,"Calvin Thomas ""C. J."" Bruton, Jr.",M,Australia,AUS,2004
16424,Darren Bundock,M,Australia,AUS,2004
16436,Olivia Bunn (-Skellern),F,Australia,AUS,2004
16436,Olivia Bunn (-Skellern),F,Australia,AUS,2004
16543,Paul Geoffrey Burgess,M,Australia,AUS,2004
16547,Simon Peter Burgess,M,Australia,AUS,2004
16704,Adrian Mark Burnside,M,Australia,AUS,2004
16914,Dean William Butler,M,Australia,AUS,2004
17278,"Timothy Joel ""Tim"" Cahill",M,Australia,AUS,2004
17494,Ashley John Callus,M,Australia,AUS,2004
17494,Ashley John Callus,M,Australia,AUS,2004
17494,Ashley John Callus,M,Australia,AUS,2004
17731,Luke Campbell,M,Australia,AUS,2004
17952,Shane Lewis Cansdell-Sherriff,M,Australia,AUS,2004
18443,Marissa Carpadios,F,Australia,AUS,2004
18550,Sara Maree Carrigan,F,Australia,AUS,2004
18583,Lara Carroll (-Mist),F,Australia,AUS,2004
18583,Lara Carroll (-Mist),F,Australia,AUS,2004
18974,Naomi Sandra Castle,F,Australia,AUS,2004
19067,Martin Peter Cattalini,M,Australia,AUS,2004
19582,Sergo Chakhoyan,M,Australia,AUS,2004
20531,Sonya Chervonsky,F,Australia,AUS,2004
21268,Zane Christensen,M,Australia,AUS,2004
22416,Andrew Collett,M,Australia,AUS,2004
22457,"Daniel James ""Danny"" Collins",M,Australia,AUS,2004
22870,Allison Petra Cook-Tranquilli,F,Australia,AUS,2004
22873,Baden Hamilton Cooke,M,Australia,AUS,2004
23451,Shaun Coulton,M,Australia,AUS,2004
23632,Jane Louise Crabtree,F,Australia,AUS,2004
23729,David William Crawshay,M,Australia,AUS,2004
23821,Jessica Crisp,F,Australia,AUS,2004
23906,Toni Maree Cronk,F,Australia,AUS,2004
24182,"Timothy John ""Tim"" Cuddihy",M,Australia,AUS,2004
24182,"Timothy John ""Tim"" Cuddihy",M,Australia,AUS,2004
24226,Nikita Cuffe,F,Australia,AUS,2004
24370,Ben Cureton,M,Australia,AUS,2004
25057,Lesley Daly,F,Australia,AUS,2004
25322,Anthony Danze,M,Australia,AUS,2004
25640,Rhian Davies,F,Australia,AUS,2004
25733,Karyn Dale Davis-Gojnich,F,Australia,AUS,2004
25796,Peter Douglas Dawson,M,Australia,AUS,2004
26730,Lisa Marie De Vanna,F,Australia,AUS,2004
26804,Liam Andrew De Young,M,Australia,AUS,2004
26829,Nathan Douglas Deakes,M,Australia,AUS,2004
26829,Nathan Douglas Deakes,M,Australia,AUS,2004
27627,Travis Philip Denney,M,Australia,AUS,2004
27627,Travis Philip Denney,M,Australia,AUS,2004
27631,"David ""Dave"" Dennis",M,Australia,AUS,2004
28053,Paul Joseph Anthony Di Bella,M,Australia,AUS,2004
28172,Michael Constantine Diamond (Diamondopoulous-),M,Australia,AUS,2004
28531,Spase Dilevski,M,Australia,AUS,2004
28816,Carly Dixon,F,Australia,AUS,2004
29017,Louise Karen Dobson,F,Australia,AUS,2004
29217,Amanda Doman,F,Australia,AUS,2004
29816,Kyeema Doyle,F,Australia,AUS,2004
29932,Warwick Draper,M,Australia,AUS,2004
30918,Phillip Peter Dutton,M,Australia,AUS,2004
30918,Phillip Peter Dutton,M,Australia,AUS,2004
31015,Jamie Raymond Dwyer,M,Australia,AUS,2004
31019,"Patrick ""Pat"" Dwyer",M,Australia,AUS,2004
31148,Oliver Dziubak,M,Australia,AUS,2004
31165,Sean Patrick Eadie,M,Australia,AUS,2004
31165,Sean Patrick Eadie,M,Australia,AUS,2004
31171,Bronwyn Louise Eagles,F,Australia,AUS,2004
31175,Andrew Earl,M,Australia,AUS,2004
31370,Peta Louise Edebone,F,Australia,AUS,2004
31473,Anthony John Edwards,M,Australia,AUS,2004
31604,Nathan John Eglington,M,Australia,AUS,2004
32226,Troy Elder,M,Australia,AUS,2004
32431,Ahmad Elrich,M,Australia,AUS,2004
32562,Morgan Martin Endicott-Davies,M,Australia,AUS,2004
32645,Michelle Engelsman,F,Australia,AUS,2004
33805,Simon John Fairweather,M,Australia,AUS,2004
33805,Simon John Fairweather,M,Australia,AUS,2004
33873,Dana Faletic,F,Australia,AUS,2004
33927,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,Australia,AUS,2004
34265,"Suzanne Margaret ""Suzie"" Faulkner",F,Australia,AUS,2004
34689,David Ferguson,M,Australia,AUS,2004
34902,Scott Fernandis,M,Australia,AUS,2004
35220,Pietro Figlioli,M,Australia,AUS,2004
35410,Gavin Fingleson,M,Australia,AUS,2004
35783,Joshua John Fleming,M,Australia,AUS,2004
36055,Lynda Mary Folauhola,F,Australia,AUS,2004
36208,John Robert Forbes,M,Australia,AUS,2004
36352,Adam Tony Forsyth,M,Australia,AUS,2004
36422,Gillian Foster,F,Australia,AUS,2004
36503,Katie Foulkes,F,Australia,AUS,2004
36569,Joanne Kylie Fox,F,Australia,AUS,2004
36787,Trent Franklin,M,Australia,AUS,2004
36908,Kim Frazer,F,Australia,AUS,2004
36967,Duncan Seth Free,M,Australia,AUS,2004
38015,Jo-Ann Galbraith,F,Australia,AUS,2004
38015,Jo-Ann Galbraith,F,Australia,AUS,2004
38030,"Eugen-Josip ""Eugene"" Galekovic",M,Australia,AUS,2004
38104,Peta Gallagher,F,Australia,AUS,2004
38195,Felicity Madeline Galvez,F,Australia,AUS,2004
38881,Heather Ann Garriock,F,Australia,AUS,2004
39542,Bevan Christopher George,M,Australia,AUS,2004
40289,David James Giles,M,Australia,AUS,2004
